epoch,train_loss,val_loss,val_landslide_iou,val_landslide_f1
0,0.0267,0.0457,0.5250,0.6885
1,0.1025,0.0904,0.3962,0.5676
2,0.1723,0.0437,0.5261,0.6895
3,0.0343,0.0416,0.5259,0.6893
4,0.1799,0.0451,0.5335,0.6958
5,0.0170,0.0443,0.4516,0.6222
6,0.0109,0.0430,0.4515,0.6222
7,0.0274,0.0444,0.4085,0.5801
8,0.0803,0.0402,0.4539,0.6244
9,0.0238,0.0506,0.4742,0.6433
10,0.0477,0.0607,0.4683,0.6379
11,0.0609,0.0423,0.5466,0.7068
12,0.0529,0.0399,0.5584,0.7166
13,0.0198,0.0380,0.5490,0.7088
14,0.0164,0.0363,0.5501,0.7097
15,0.0059,0.0366,0.5290,0.6919
16,0.0066,0.0372,0.5469,0.7071
17,0.0169,0.0353,0.5468,0.7070
18,0.0506,0.0406,0.5689,0.7252
19,0.1127,0.0357,0.5656,0.7226
20,0.0094,0.0380,0.5570,0.7155
21,0.0463,0.0373,0.5256,0.6891
22,0.0337,0.0366,0.5545,0.7134
23,0.0170,0.0395,0.5503,0.7100
24,0.0148,0.0357,0.5561,0.7147
25,0.0317,0.0413,0.4194,0.5910
26,0.0122,0.0384,0.4807,0.6493
